epoch,mse,sum_error
0,226589134.186270,1302842573.473339
1,179795308.642622,841464271.391573
2,169740854.510756,743077354.837501
3,167839634.825719,710477593.298286
4,167893183.902557,696040180.035373
5,168352976.725051,688223746.719004
6,168833716.377971,683371264.026256
7,169257137.289928,680070808.623040
8,169621274.814604,677686291.556650
9,169938276.353496,675892482.165304
10,170219335.303133,674505032.500983
11,170472344.281559,673410550.163939
12,170702494.428135,672534692.685914
13,170913210.784015,671826233.639185
14,171106857.367414,671248471.142870
15,171285180.782283,670774288.546136
16,171449567.244196,670383157.273002
17,171601184.579646,670059232.274426
18,171741058.376233,669790092.504182
19,171870112.246014,669565878.637167
20,171989189.306638,669378684.849729
21,172099064.207016,669222118.691608
22,172200450.579757,669090975.585913
23,172294006.365620,668980993.614601
24,172380338.168502,668888665.864128
25,172460005.148033,668811094.883101
26,172533522.644555,668745878.495276
27,172601365.593491,668691019.317346
28,172663971.733747,668644852.437832
29,172721744.601442,668605987.173850
30,172775056.302457,668573259.854429
31,172824250.064085,668545695.320726
32,172869642.572760,668522475.374493
33,172911526.109713,668502912.806189
34,172950170.499332,668486429.933481
35,172985824.886274,668472540.807401
36,173018719.357381,668460836.416607
37,173049066.423719,668450972.353825
38,173077062.376906,668442658.512698
39,173102888.532460,668435650.464952
40,173126712.371534,668429742.232582
41,173148688.591041,668424760.221317
42,173168960.070932,668420558.123074
43,173187658.766317,668417012.628616
44,173204906.531164,668414019.818791
45,173220815.879505,668411492.125002
46,173235490.689377,668409355.767726
47,173249026.854165,668407548.597000
48,173261512.885490,668406018.271152
49,173273030.471399,668404720.720400
50,173283654.993226,668403618.850510
51,173293456.004222,668402681.448864
52,173302497.672741,668401882.261241
53,173310839.192593,668401199.212663
54,173318535.162930,668400613.749838
55,173325635.939857,668400110.286218
56,173332187.961823,668399675.733746
57,173338234.050669,668399299.107775
58,173343813.690086,668398971.193768
59,173348963.283127,668398684.266198
60,173353716.390279,668398431.851519
61,173358103.949519,668398208.528331
62,173362154.479661,668398009.758975
63,173365894.268223,668397831.747653
64,173369347.544956,668397671.320939
65,173372536.642087,668397525.827176
66,173375482.142271,668397393.051833
67,173378203.015161,668397271.146305
68,173380716.743456,668397158.568061
69,173383039.439207,668397054.030354
70,173385185.951127,668396956.459998
71,173387169.963574,668396864.961937
72,173389004.087852,668396778.789536
73,173390699.946406,668396697.319685
74,173392268.250452,668396620.031967
75,173393718.871562,668396546.491222
76,173395060.907643,668396476.332990
77,173396302.743763,668396409.251353
78,173397452.108213,668396344.988804
79,173398516.124173,668396283.327807
80,173399501.357323,668396224.083784
81,173400413.859721,668396167.099290
82,173401259.210227,668396112.239186
83,173402042.551748,668396059.386644
84,173402768.625561,668396008.439849
85,173403441.802919,668395959.309281
86,173404066.114183,668395911.915478
87,173404645.275644,668395866.187209
88,173405182.714240,668395822.059969
89,173405681.590322,668395779.474762
90,173406144.818618,668395738.377106
91,173406575.087551,668395698.716230
92,173406974.877026,668395660.444428
93,173407346.474816,668395623.516536
94,173407691.991655,668395587.889524
95,173408013.375137,668395553.522158
96,173408312.422519,668395520.374746
97,173408590.792512,668395488.408935
98,173408850.016144,668395457.587554
99,173409091.506762,668395427.874487
100,173409316.569245,668395399.234589
101,173409526.408493,668395371.633610
102,173409722.137242,668395345.038150
103,173409904.783264,668395319.415615
104,173410075.296003,668395294.734193
105,173410234.552678,668395270.962839
106,173410383.363916,668395248.071257
107,173410522.478933,668395226.029890
108,173410652.590314,668395204.809920
109,173410774.338406,668395184.383256
110,173410888.315377,668395164.722539
111,173410995.068950,668395145.801132
112,173411095.105840,668395127.593117
113,173411188.894930,668395110.073298
114,173411276.870187,668395093.217187
115,173411359.433358,668395077.001006
116,173411436.956449,668395061.401680
117,173411509.784012,668395046.396824
118,173411578.235252,668395031.964742
119,173411642.605970,668395018.084414
120,173411703.170351,668395004.735485
121,173411760.182617,668394991.898259
122,173411813.878548,668394979.553681
123,173411864.476885,668394967.683332
124,173411912.180621,668394956.269407
125,173411957.178197,668394945.294710
126,173411999.644601,668394934.742637
127,173412039.742381,668394924.597161
128,173412077.622582,668394914.842818
129,173412113.425611,668394905.464690
130,173412147.282029,668394896.448398
131,173412179.313290,668394887.780078
132,173412209.632415,668394879.446372
133,173412238.344624,668394871.434409
134,173412265.547907,668394863.731795
135,173412291.333559,668394856.326590
136,173412315.786676,668394849.207307
137,173412338.986606,668394842.362881
138,173412361.007368,668394835.782671
139,173412381.918042,668394829.456434
140,173412401.783127,668394823.374317
141,173412420.662872,668394817.526845
142,173412438.613579,668394811.904900
143,173412455.687891,668394806.499720
144,173412471.935047,668394801.302875
145,173412487.401128,668394796.306264
146,173412502.129281,668394791.502097
147,173412516.159922,668394786.882888
148,173412529.530929,668394782.441439
149,173412542.277821,668394778.170835
150,173412554.433917,668394774.064427
151,173412566.030493,668394770.115830
152,173412577.096919,668394766.318903
153,173412587.660789,668394762.667751
154,173412597.748044,668394759.156703
155,173412607.383082,668394755.780316
156,173412616.588859,668394752.533358
157,173412625.386991,668394749.410803
158,173412633.797837,668394746.407822
159,173412641.840586,668394743.519773
160,173412649.533331,668394740.742199
161,173412656.893141,668394738.070819
162,173412663.936128,668394735.501517
163,173412670.677506,668394733.030340
164,173412677.131649,668394730.653493
165,173412683.312149,668394728.367324
166,173412689.231854,668394726.168329
167,173412694.902928,668394724.053140
168,173412700.336881,668394722.018521
169,173412705.544618,668394720.061363
170,173412710.536470,668394718.178679
171,173412715.322231,668394716.367600
172,173412719.911192,668394714.625366
173,173412724.312167,668394712.949329
174,173412728.533523,668394711.336942
175,173412732.583209,668394709.785759
176,173412736.468774,668394708.293428
177,173412740.197395,668394706.857690
178,173412743.775896,668394705.476374
179,173412747.210769,668394704.147394
180,173412750.508193,668394702.868743
181,173412753.674050,668394701.638495
182,173412756.713940,668394700.454796
183,173412759.633201,668394699.315869
184,173412762.436920,668394698.220000
185,173412765.129947,668394697.165545
186,173412767.716905,668394696.150923
187,173412770.202210,668394695.174616
188,173412772.590071,668394694.235158
189,173412774.884510,668394693.331151
190,173412777.089366,668394692.461240
191,173412779.208307,668394691.624131
192,173412781.244837,668394690.818573
193,173412783.202307,668394690.043367
194,173412785.083918,668394689.297361
195,173412786.892733,668394688.579445
196,173412788.631682,668394687.888551
197,173412790.303568,668394687.223657
198,173412791.911072,668394686.583774
199,173412793.456764,668394685.967955
200,173412794.943101,668394685.375288
201,173412796.372437,668394684.804897
202,173412797.747029,668394684.255940
203,173412799.069036,668394683.727602
204,173412800.340528,668394683.219107
205,173412801.563491,668394682.729704
206,173412802.739826,668394682.258670
207,173412803.871357,668394681.805312
208,173412804.959833,668394681.368962
209,173412806.006930,668394680.948981
210,173412807.014259,668394680.544748
211,173412807.983362,668394680.155672
212,173412808.915720,668394679.781179
213,173412809.812754,668394679.420720
214,173412810.675829,668394679.073769
215,173412811.506254,668394678.739814
216,173412812.305286,668394678.418368
217,173412813.074132,668394678.108958
218,173412813.813950,668394677.811133
219,173412814.525854,668394677.524455
220,173412815.210913,668394677.248509
221,173412815.870153,668394676.982889
222,173412816.504561,668394676.727206
223,173412817.115084,668394676.481088
224,173412817.702634,668394676.244177
225,173412818.268084,668394676.016126
226,173412818.812276,668394675.796600
227,173412819.336017,668394675.585284
228,173412819.840085,668394675.381867
229,173412820.325225,668394675.186053
230,173412820.792156,668394674.997557
231,173412821.241566,668394674.816105
232,173412821.674120,668394674.641432
233,173412822.090455,668394674.473285
234,173412822.491184,668394674.311420
235,173412822.876896,668394674.155600
236,173412823.248158,668394674.005600
237,173412823.605516,668394673.861201
238,173412823.949494,668394673.722193
239,173412824.280596,668394673.588376
240,173412824.599307,668394673.459555
241,173412824.906093,668394673.335542
242,173412825.201403,668394673.216158
243,173412825.485670,668394673.101231
244,173412825.759307,668394672.990591
245,173412826.022714,668394672.884081
246,173412826.276276,668394672.781546
247,173412826.520362,668394672.682835
248,173412826.755329,668394672.587807
249,173412826.981517,668394672.496324
250,173412827.199257,668394672.408253
251,173412827.408864,668394672.323469
252,173412827.610645,668394672.241846
253,173412827.804892,668394672.163267
254,173412827.991887,668394672.087620
255,173412828.171902,668394672.014792
256,173412828.345198,668394671.944681
257,173412828.512028,668394671.877184
258,173412828.672632,668394671.812203
259,173412828.827244,668394671.749645
260,173412828.976087,668394671.689420
261,173412829.119378,668394671.631439
262,173412829.257325,668394671.575620
263,173412829.390126,668394671.521882
264,173412829.517975,668394671.470146
265,173412829.641056,668394671.420339
266,173412829.759548,668394671.372389
267,173412829.873622,668394671.326226
268,173412829.983442,668394671.281783
269,173412830.089169,668394671.238996
270,173412830.190954,668394671.197803
271,173412830.288944,668394671.158146
272,173412830.383283,668394671.119967
273,173412830.474105,668394671.083210
274,173412830.561542,668394671.047822
275,173412830.645721,668394671.013754
276,173412830.726763,668394670.980955
277,173412830.804784,668394670.949378
278,173412830.879899,668394670.918977
279,173412830.952214,668394670.889709
280,173412831.021835,668394670.861531
281,173412831.088862,668394670.834403
282,173412831.153392,668394670.808285
283,173412831.215517,668394670.783141
284,173412831.275329,668394670.758932
285,173412831.332912,668394670.735626
286,173412831.388349,668394670.713189
287,173412831.441722,668394670.691587
288,173412831.493107,668394670.670789
289,173412831.542577,668394670.650766
290,173412831.590205,668394670.631489
291,173412831.636059,668394670.612930
292,173412831.680205,668394670.595061
293,173412831.722706,668394670.577860
294,173412831.763625,668394670.561298
295,173412831.803020,668394670.545353
296,173412831.840947,668394670.530002
297,173412831.877462,668394670.515224
298,173412831.912618,668394670.500994
299,173412831.946463,668394670.487295
300,173412831.979049,668394670.474106
301,173412832.010421,668394670.461409
302,173412832.040624,668394670.449183
303,173412832.069703,668394670.437415
304,173412832.097699,668394670.426083
305,173412832.124653,668394670.415174
306,173412832.150602,668394670.404671
307,173412832.175586,668394670.394560
308,173412832.199639,668394670.384824
309,173412832.222796,668394670.375451
310,173412832.245091,668394670.366427
311,173412832.266557,668394670.357739
312,173412832.287222,668394670.349375
313,173412832.307119,668394670.341323
314,173412832.326274,668394670.333569
315,173412832.344716,668394670.326106
316,173412832.362472,668394670.318919
317,173412832.379566,668394670.312000
318,173412832.396024,668394670.305339
319,173412832.411869,668394670.298926
320,173412832.427124,668394670.292751
321,173412832.441811,668394670.286808
322,173412832.455951,668394670.281085
323,173412832.469565,668394670.275574
324,173412832.482672,668394670.270270
325,173412832.495291,668394670.265163
326,173412832.507440,668394670.260245
327,173412832.519137,668394670.255511
328,173412832.530398,668394670.250952
329,173412832.541240,668394670.246565
330,173412832.551678,668394670.242340
331,173412832.561728,668394670.238273
332,173412832.571404,668394670.234357
333,173412832.580719,668394670.230587
334,173412832.589687,668394670.226957
335,173412832.598322,668394670.223462
336,173412832.606635,668394670.220098
337,173412832.614639,668394670.216859
338,173412832.622344,668394670.213739
339,173412832.629763,668394670.210737
340,173412832.636906,668394670.207847
341,173412832.643782,668394670.205063
342,173412832.650403,668394670.202383
343,173412832.656777,668394670.199804
344,173412832.662914,668394670.197321
345,173412832.668822,668394670.194929
346,173412832.674510,668394670.192627
347,173412832.679987,668394670.190411
348,173412832.685260,668394670.188277
349,173412832.690336,668394670.186222
350,173412832.695224,668394670.184243
351,173412832.699929,668394670.182340
352,173412832.704459,668394670.180506
353,173412832.708821,668394670.178741
354,173412832.713020,668394670.177042
355,173412832.717063,668394670.175405
356,173412832.720956,668394670.173830
357,173412832.724703,668394670.172313
358,173412832.728311,668394670.170853
359,173412832.731785,668394670.169447
360,173412832.735129,668394670.168093
361,173412832.738349,668394670.166790
362,173412832.741449,668394670.165535
363,173412832.744433,668394670.164327
364,173412832.747307,668394670.163165
365,173412832.750073,668394670.162045
366,173412832.752737,668394670.160967
367,173412832.755301,668394670.159929
368,173412832.757770,668394670.158930
369,173412832.760147,668394670.157969
370,173412832.762435,668394670.157041
371,173412832.764638,668394670.156150
372,173412832.766760,668394670.155292
373,173412832.768802,668394670.154465
374,173412832.770768,668394670.153669
375,173412832.772661,668394670.152902
376,173412832.774484,668394670.152166
377,173412832.776238,668394670.151456
378,173412832.777928,668394670.150771
379,173412832.779554,668394670.150114
380,173412832.781120,668394670.149480
381,173412832.782628,668394670.148870
382,173412832.784079,668394670.148282
383,173412832.785477,668394670.147717
384,173412832.786822,668394670.147172
385,173412832.788117,668394670.146649
386,173412832.789365,668394670.146143
387,173412832.790565,668394670.145657
388,173412832.791721,668394670.145189
389,173412832.792834,668394670.144740
390,173412832.793906,668394670.144306
391,173412832.794937,668394670.143888
392,173412832.795931,668394670.143486
393,173412832.796887,668394670.143099
